title,overview,vote_average
That They May Face the Rising Sun,"Joe and Kate Ruttledge have returned from London to live and work among the small, close-knit community near to where Joe grew up. Now deeply embedded in life around the lake, the drama of a year in their lives and those of the memorable characters around them unfolds through the rituals of work, play and the passing seasons as this enclosed world becomes an everywhere.",7.2
Di Bawah Umur,"A new student, Lana comes to the most favorite high schools in Jakarta. Her innocent and fresh beauty catches the eyes of the young guys there, especially the school’s bad boy, Aryo.",6.8
Introduce Me,"Jimmy Clark, sightseeing in France with his friend Algy Baker, falls in love, at first sight, with Betty Perry at the railroad station. The destination for all: Switzerland. There, Jimmy is mistaken for an expert mountain climber, J.K. Roberts. Betty is introduced to Jimmy and believes him to be the champion.",0.0
As Safadas,"Three stories. 'Rainha do Fliper' (Pinball's Queen) Reginéia is the pinball's queen, exploited by her pimp Giba. Out of the blue, her former boyfriend Tenório comes to the arcade place seeking out Reginéia.  'Uma Aula de Sanfona' (One Class of Accordion) Bank clerk Nanci and her friend Cristina have come from Ribeirão Preto and share an apartment in São Paulo. Nanci has an argument with her lover Valdemar, and goes to her room blaming her upset on the accordian lessons that her neighbor, Durval Pereira, is giving on the floor above, but what is his secret?  'Belinha, a Virgem' (Belinha, the Virgin) The wedding day of the virgin, Belinha is rapidly approaching,. But the wedding is against the will of her fiancé's mother. When her future mother-in-law asks the parochial priest to check whether Belinha is virgin or not, the girl uses her sculptural body to resolve the situation.",6.1
Kuroshitsuji: Noah's Ark Circus,Musical Kuroshitsuji: Noah's Ark Circus (ミュージカル「黒執事」~NOAH'S ARK CIRCUS~) is the fourth musical adaptation of the Kuroshitsuji manga. The musical toured four cities during its one-month run in late 2016.,0.0
You Only Live Twice: The Incredibly True Story of the Hughes Family,"This documentary takes us on an intimate, whirlwind journey through the ages, revealing the complexities and duality within this prodigiously talented, eccentric maverick clan who've pursued their passions on the world stage.",0.0
The Blood of the Innocent,"The unemployed Reda develops feelings for his neighbor Hanan who runs away and lives with an aristocratic lady for whom she works, leaving Reda to get involved with terrorist groups. Meanwhile, Jaber earns his living by fraud and deceit and eventually dies in an accident.",6.0
What Do You Think? (Number Three),This short looks at the possibility that those who have passed on can communicate with us in ways we least expect.,7.0
The Blue Eyes of Yonta,"A beautiful, intelligent and flirtatious young girl, Yonta, is secretly in love with a friend of her parents, Vicente, a hero of the war of independence. Vicente is unaware of her passion as she is of the love of a young man who sends her anonymous love letters.",6.8
A Bennett Song Holiday,"The unique Bennett-Song family learns the true meaning of the holidays as they solve a community crisis and adapt to big changes. Everything you want in a holiday film: love, the power of belief, laughter, tears, and new musical classics.",0.0
The New Toy,"Samy lives happily with his wife, Alice, in a poor urban housing project amongst friends and neighbours. For his son’s birthday, the richest man in France throws open his grand department store, offering the boy whatever he wants. Alexandre chooses Samy, the night watchman, as his new toy…",5.9
Kirot,"A conservative woman, engaged to her high school sweetheart, receives a life-saving heart transplant. But as she recovers, unexpected passions and desires begin to surface, pulling her into a world that threatens the life and identity she thought she wanted.",5.5
Khoj,"A man's wife goes missing and another woman who claims to be his wife enters his life. Although he continues to deny being her husband, she produces many evidences that prove him wrong.",5.7
Love Me Vampire,"The oriental answer to USA's Fright Night movie, but there's more concentration on the high school motif similiar to the Hong Kong Happy Ghost series.",6.0
The Crown's Ancient Forest,"In the heart of Southern England lies a royal forest; a wild and magical place of ancient beauty that’s hardly changed since King William the Conqueror proclaimed it as his hunting grounds some 900 years ago.  Stretching down from the famous Salisbury Plains to the rocky shores of the English Channel, the New Forest National Park is the largest and richest lowland wilderness in Britain, home to more ancient woods, mossy mires and rich heathlands than any other landscape in Europe.",0.0
On Hostile Ground,A geologist (John Corbett) investigates a sinkhole under New Orleans that might engulf the city during Mardi Gras.,3.3
The Gun Runners,"Remake of ""To Have and Have Not"" based on Hemingway short story. Plot reset to early days of Cuban revolution. A charter boat skipper gets entangled in gunrunning scheme to get money to pay off debts. Sort of a sea-going film noir with bad girl, smarmy villain, and the ""innocent"" drawn into wrong side of law by circumstances.",6.0
Margaret's Museum,"In a town where half the men die down the coalpit, Margaret MacNeil is quite happy being single in her small Cape Breton island town. Until she meets Neil Currie, a charming and sincere bagpipe-playing, Gaelic-speaking dishwasher. But no matter what you do, you can't avoid the spectre of the pit forever.",6.6
The Treadmill,"A tormented Emma, runs on her treadmill while doing online counseling, deluding herself to escape from her past. This balance will break when, after twenty-six years, her younger sister bursts in with an unsustainable request.",5.7
Across the Tracks,"When Billy returns from reform school he has to attend a different high school at the other side of town. He tries to start with a clean slate but his old rival doesn't make it easy on him and his buddy Louie tries to make him go astray again. His brother Joe, quite the opposite of Billy, is a good runner and determined to win a track scholarship. He suggests Billy to join his school's track team, which pits the two brothers against each other.",5.9
Troublesome Night 10,"A boss and his employees take an excursion to Cheung Chou, an island off the coast of Hong Kong. There, the boss meets and courts a young woman, and is completely oblivious of her past. Meanwhile, while the employees try to enjoy their weekend adventure without their employer, they encounter abnormal events and the young woman may be a link to them.",2.0
The Call of Sex,A man finds a woman that reminds him of his long lost love: his step-sister with whom he initiated his sex life. But he is married and his wife wants proof of the cheating to get a divorce.,5.375
It Takes a Village,"When financial trouble forces Halina to call off her wedding, her friends and family decide to hatch a wild plan to bring in tourist money.",4.9
Mystery Train,"In Memphis, Tennessee, over the course of a single night, the Arcade Hotel, run by an eccentric night clerk and a clueless bellboy, is visited by a young Japanese couple traveling in search of the roots of rock; an Italian woman in mourning who stumbles upon a fleeing charlatan girl; and a comical trio of accidental thieves looking for a place to hide.",7.348
Nero,"As a young boy, future emperor Nero witnesses the mad Emperor Caligula kill his father and exile his mother. While in exile in the pontine islands, Agrippina, his mother, sees a vision telling her that her son can become emperor, but she will have to die first. She accepts the proposal. Back in Rome, Nero, now being raised by emperor Claudius after Caligula's death, Agrippina returns. She poisons Claudius' food and Nero becomes emperor. At first, Nero cuts taxes and introduces successful programs and invades Brittania. Soon he meets a beautiful slave named Claudia Acte, and marries her, throwing off his engagement with Claudius' daughter, Claudia Octavia, telling her she can marry someone she will be happy with. Heartbroken, she arrives at an island and kills herself. Nero enjoys being married to Claudia Acte, but soon he gradually goes mad with power and sets fire to Rome.",6.0
Once We Were Us,"Seoul, 2008. On a bus heading to their hometown, fate brings Eun-ho and Jeong-won together, sparking an unlikely friendship. While battling  a bustling and weary city life, they find themselves sharing lofty dreams and a love that comes to feel extraordinary. But, eventually, the harsh realities of life lead them to part ways. Over a decade after the separation, the two unexpectedly reunite on a flight back to Korea, where they reflect on their lost time.",7.5
Hollywood Picnic,Caricatures of many of the stars in Hollywood from the 1930's all playing and eating as best suits their public image.,5.0
Felix,"Within four episodes (""Er am Ende"", ""Muss ich aufpassen"", ""Eva"" and ""Are You Lonesome Tonight?"" ) are being told adventures of love sick Felix. On Sylt he meets two nymphomaniac women, in Hamburg he meets Eva, a girl who is even more love sick and later he meets Luci who gives him an indecent proposal. Thus he flees again...",3.5
Don't Say a Word,"When the daughter of a psychiatrist is kidnapped, he is horrified to discover that the abductors' demand is that he break through to a young woman, suffering from PTSD, who knows a secret six digit code number.",6.268
Hot Rod,"A young man builds a hot rod despite the disapproval of his father, a Juvenile Court judge. Circumstantial evidence points to the innocent teenager when his car is involved in a hit-and-run accident and he must reconcile with his father.",5.7
"Ali, Hachem and Khaled","On August 4, 2020, an explosion devastated the port of Beirut and part of the city. Two hundred people lost their lives. Five thousand were seriously injured. Three hundred thousand were displaced. Following the disaster, we set out to find three port workers who had appeared in one of our films ten years earlier.",0.0
Officer,"An honest officer fights to bring down a corrupt and dangerous cop, and attempts to bring down the entire Mumbai mafia with him.",4.3
Notice of This Connection,"""Notice of This Connection"" follows Peter Linklater's journey through a series of tumultuous relationships in a bustling city. From chance encounters to forbidden affairs, Peter's life spins out of control as he grapples with the consequences of his actions, ultimately learning valuable lessons about love, betrayal, and redemption. The story serves as a cautionary tale about the complexities of human connections and the profound impact they can have on our lives.",0.0
Weekend at Bernie's,"Two young insurance corporation employees try to pretend that their murdered employer is alive by puppeteering his dead body, leading a hitman to attempt to track him down to finish him off.",6.4
Afraid,A coffee shop manager closes up for the night and heads to her car in a nearby parking garage. Will she make it? Or will her worst fears become reality?,3.6
The Maidens of Heavenly Mountains,"Legend has it that in a faraway place beyond the edge of the earth, there exists a broken-hearted man with infinite power. Abandoned by his loved ones, the inheritance of the old man's chi power becomes a battleground for evil outsiders.",5.4
The Jimmy/Timmy Power Hour Trilogy,"The iconic trilogy that has put two stars together in Jimmy Neutron and Timmy Turner. The films were released in this order: The Jimmy Timmy Power Hour (2004), The Jimmy Timmy Power Hour 2: When Nerds Collide (2006), and The Jimmy Timmy Power Hour 3: The Jerkinators (2006). All three slowly rise the steaks of our two counter parts dueling in an epic proportion. Additionally, the series contains both CGI and 2D animation for both characters from different series.",7.3
Olga,Olga has a special Christmas present for the man who wronged her long ago.,0.0
The Homecoming of Jimmy Whitecloud,A Native American standup comedian gets into a fracas with the Mob.,0.0
Si Doel Anak Betawi,"Doel, a child growing up in a Betawi society, who is trying to break the pragmatism of the society that considers the Betawi people to be conservative by getting as high an education as possible. After his father's death in an accident, he and his mother becomes a seller to survive.",0.0
The palindrome woman,"Anémona and Pisces live a capicua experience: they are at the same time the woman who looks, the woman who is looked at, and the very act of looking. Between fractal scenes and images multiplied in reference to Man Ray, Anémona assumes the will to, through the state of trance, always be a foreigner within herself, while Pisces goes in search of an alien vision, to assume herself as the self and otherness to understand the world.",0.0
"Silent Hollywood: Cult, Stars, Scandals",Documentary about Hollywood during the silent film era.,0.0
Tarantella,"Here the artist creates a world of color, form, movement and sound in which the elements are in a state of controllable flux, the two materials (visual and aural) are subject to any conceivable interrelation and modification.",5.63
Pedro and Lorenzo,A musical story about a boy and his pet bull. They both grow up and must face each other in the arena.,0.0
Lincoln,Famous actors read testimonies from people close to Lincoln about him and his actions during the Civil War.,7.2
King Gojong and Martyr An Jung-geun,"At the end of the Joseon Dynasty, shortly after the Eulsa Treaty has been forced to be concluded by Ito Hirobumi and the pro-Japanese courtiers, Japan pressures King Gojong to step down from the throne. Meanwhile, An Jung-geun, who is cultivating men of ability at Samheung school, is deeply impressed by a speech made by An Chang-ho, and heads for Russia to volunteer the army fighting for independence of the country. As both a lieutenant general of the Korean militia and a commander of the Korean expeditionary force in Manchuria, he carries on the independence movement in defiance of Japanese coercion.",6.0
Comic Book Store 3D,"Wannabe actress So-ra always fails in auditions and she doesn't think it's her acting that's failing her, but she's just unlucky and that there's something wrong with the directors. One day on the way back from a disappointing audition, she meets Seung-hyeon, a guy she used to act with. He invites her to the site where he is filming a movie and she is surprised by his acting skills. Coincidentally, So-ra gets to fill in for an actress who didn't show up and the filming becomes a disaster because of her acting...",0.0
Visions of Mookajji,"An 80-year-old widow with extra-sensory perceptions can see the history behind the objects she touches, through which she comments on evolution of culture, concepts of God, religion, relationships, humans and their sexuality, etc.",10.0
Out on Stage,"Out On Stage is the absolutely hilarious and one of a kind, originally produced comedy hosted by Zach Noe Towers! See OUT Magazine's 1 of the 10 comedians to watch in 2018,' the comedian that Sarah Silverman calls,'So, so, so funny' and 17 other top rated Gay and Lesbian stand-up comedians discuss taboo subjects as only they can!",0.0
Counting Days,A cabdriver tries to reunite his family when he learns his estranged father has terminal cancer.,2.0
Too Fast Too Young,"Chase Parish seeks refuge with his young cousin, Dalton, after escaping from prison and launching a one-man cop-killing spree. Chase ultimately persuades Dalton to commit a daring crime, and then betrays him when faced with an army of vengeful L.A.P.D. officers.",0.0
Osuofia in London,"Osuofia (Nkem Owoh), a bamboozled villager from Nigeria, travels to London, England to receive his share of an inheritance left for him by a deceased relative.",5.5
Kovilpatti Veeralakshmi,A brave woman battles against intouchabilty is her village.,0.0
The Surrogate Mother,"Florence Varthy is found dead in her garage. Witnesses to her last few days are questioned to discover who wanted her dead. How did this woman, only daughter of well-known, brash businessman Jacques Varthy, end up like this?",5.8
Goin' Coconuts,"The toothsome singing duo, Donny and Marie Osmond, head for Hawaii in this comedy. The trouble begins when Marie acquires a lovely necklace without realizing that it is coveted by a group of thieves. An enigmatic woman is also after the necklace. Mayhem, music, and sibling rivalry ensue.",3.8
Echo Valley,"Kate lives a secluded life—until her troubled daughter shows up, frightened and covered in someone else's blood. As Kate unravels the shocking truth, she learns just how far a mother will go to try to save her child.",6.4
Elevator bôkô-ma,Pink film distributed by Xces.,2.0
Biyak,"Violet reconnects with her biological mother and her half-sister, Samantha. The sisters find their common ground as both of their worlds revolve around drugs and sexual abuse.",3.5
I Fell in Love with Your Footsteps,"Kobayashi Daiki is a first year high school student who moved from Tokyo to Hita City in Oita Prefecture. He meets Kudo Misaki, a member of a local geta dance team who livens up the city's atmosphere with the traditional footwear",8.0
The Four Sheepish Dummies,Taiwanese comedy.,0.0
Afraid to Go Out at Night,"A bank employee, shy and skittish, is falling into the web of fear of the events he sees around him and the crime wave that seems to invade the city.",5.1
Stevie,"For a poet with a gift for crafting words into barbs, Stevie Smith lives a relatively conventional life. Sheltered in a London suburb, she spends her days engaged in tedious housework, crafting verse and conversing with her aunt. But while her body may be committed to drudgery, Stevie's mind is constantly trying to break free, which causes her to rail against religion and middle-class values, and prevents her from finding happiness with a man interested in her.",7.0
This Marriage Business,A cocky reporter turns a small town marriage license clerk into a media celebrity.,4.75
THE SOLO,"Two high school saxophonists are given the opportunity to play at the Hamer Hall, but only one of them will get the solo.",0.0
Crown Heights,"After the Crown Heights riots, an orthodox Rabbi and a community activist help two youths--one a Hasidic Jew, the other African-American--form a hip-hop group to heal their neighboorhood.",0.0
Behind the Shield: The Power and Politics of the NFL,Celebrated author and Nation magazine sports editor Dave Zirin tackles the myth that the NFL was somehow free of politics before Colin Kaepernick and other Black NFL players took a knee.,0.0
Celia: The Sinister Affair of Poor Aunt Nora,"An actress, urged by her detective boyfriend, takes a job as housekeeper for a wealthy elderly woman. The woman's new young husband claims she's ill and refuses entry, raising suspicions about her whereabouts.",6.0
Meet My Sister,'Poor lord tells future father-in-law that his ex-fiancée is his sister.' (British Film Catalogue),0.0
Potatoes,"In a village in the Ardennes, during the German occupation, finding rations is becoming almost impossible. Clovis, an ordinary labourer, decides to cross the occupied zone to bring back enough potatoes to feed his family. His plan is a success but Clovis rapidly becomes obsessed with storing the precious tubers.",6.2
Miss Moonlight,"High school film club member Maki shot a local tourism promotional video with her friends, but she wasn't happy with the mediocre outcome. One day, Maki comes up with a new idea and decides to reshoot the video at camp during spring vacation. The camp starts off with help from Misako, who works as an idol, and former video director Hirokazu.",0.0
The Unburied,"Maximiliano is a psychiatrist who suffers from strange visions of his past. He grew up in an orphanage and then left for the big city. When his adoptive father dies, he goes back to his hometown where he will be reunited with his brothers and discover a dark family secret.",5.0
Dancing Songs,"Short animation inspired by traditional folk songs, telling the story of a young boy torn between two potential brides, one rich and one poor.",0.0
Mad Money,Three female employees of the Federal Reserve plot to steal money that is about to be destroyed.,6.5
Stabat Mater,"Clara has had a difficult relationship with motherhood since finding out she was pregnant with her daughter Amanda when she was 20, challenging the body she deems unfit for the role of mother by giving it without pleasure and working long hours in sordid night clubs. She decides to leave her daughter and partner but ten years later she is forced to take a newfound responsibility when Amanda falls ill.",5.0
Flyboys,"The adventures of the Lafayette Escadrille, young Americans who volunteered for the French military before the U.S. entered World War I, and became the country's first fighter pilots.",6.5
The Suicide,"As Soviet Russia enters the era of the New Economic Policy, Semyon Podsekalnikov decides to stop looking for a job. However, the prospect of living at the expense of his wife and mother-in-law seems unbearable. Having reached the end of his tether, Semyon is resolved to take his own life. Based on Nikolai Erdman's controversial play.",6.0
Dirty Hands,"A political drama set in the fictional country of Illyria between 1943 and 1945, the story is about the assassination of a leading politician. The country, an ally of Nazi Germany, is on the verge of being annexed to the Eastern Bloc.  Kaurismäki's TV adaptation of Jean-Paul Sartre's play Les Mains Sales (Dirty Hands) tells the story of Hugo (Matti Pellonpää) who has just been released from prison. Before going to prison, he has worked as a journalist at his party's newspaper. This timid journalist, who uses the pseudonym Raskolnikov, wants to advance in his career and gets his chance when Hoederer (Sulevi Peltola), the leader of the party, has to be eliminated.",5.1
Nothing to Lose,"Advertising executive Nick Beame learns that his wife is sleeping with his employer. In a state of despair, he encounters a bumbling thief whose attempted carjacking goes awry when Nick takes him on an involuntary joyride. Soon the betrayed businessman and the incompetent crook strike up a partnership and develop a robbery-revenge scheme. But it turns out that some other criminals in the area don't appreciate the competition.",6.6
Mariposa,"New student Acha falls for Iqbal, a high-achieving student who's torn between love and family pressure.",6.3
The Nightingale,"In 1825, Clare, a 21-year-old Irish convict, chases a British soldier through the rugged Tasmanian wilderness, bent on revenge for a terrible act of violence he committed against her family. She enlists the services of an Aboriginal tracker who is also marked by trauma from his own violence-filled past.",7.1
Super Hot,A pizza delivery girl discovers her neighbor is moving into a sorority house of vampires. It's a race against the clock to stop her crush from being sacrificed at midnight.,4.675
Separated,"Academy Award®-winning filmmaker Errol Morris confronts one of the darkest chapters in recent American history: family separations. Based on NBC News Political and National Correspondent Jacob Soboroff’s book, Separated: Inside an American Tragedy, Morris merges bombshell interviews with government officials and artful narrative vignettes tracing one migrant family’s plight. Together they show that the cruelty at the heart of this policy was its very purpose. Against this backdrop, audiences can begin to absorb the U.S. government’s role in developing and implementing policies that have kept over 1300 children without confirmed reunifications years later, according to the Department of Homeland Security.",0.0
A Missa do Galo,It's Christmas Eve and an aunt and her nephew have to deal with their platonic relationship.,5.8
The Last Legion,"As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.",5.619
ياما في السجن,"A simple, struggling young man seeks to improve his financial situation and marry his fiancée, but he is implicated in a murder and is accused of it. He seeks every means at his disposal to prove his innocence.",0.0
After Lucia,"Alejandra and her dad Roberto have just moved to town. She is new at school, he has a new job. Starting over is sometimes complicated when you have left so much behind.",6.6
Disorder,An ex-soldier with PTSD is hired to protect the wife and child of a wealthy Lebanese businessman while he's out of town.,5.7
Good Manners,"Manuela and Rosario are two sisters who, after years of not speaking because of a family secret, find each other unexpectedly in the birthday party of their grandchildren. The kids have met thanks to their nannies, Trini and Milagros, best friends and neighbours. When they discover the conflict that separates the children, the nosy housekeepers will try, clumsily, lovingly and through silly shenanigans, to reconcile the families.",6.1
The Trust,"William Rice is perhaps the wealthiest man in Texas. With no heirs, Rice plans to leave his estate in the form of a much-needed college. Relying on the good nature and upstanding character of his lawyer, Rice feels confident that his wealth and name will leave a prestigious legacy for generations. When nefarious forces threaten the planned college, the two are left fighting to retain his legacy.",0.0
Samurai from Nowhere,"Misawa Ihei (Nagato) is traveling with his wife Tae (Iwashita Shima) who abhors the practice of sword fighting for prize money. Tae is the daughter of the clan's chief counselor who married the low-ranking Ihei to avoid becoming the clan lord's mistress. Into the mix comes Oba Gunjuro (Tetsurō Tamba), a mysterious ronin who will do anything for money. This leads to a fitting climax as the forces of hate and love converge while the couple attempt to break through the border!",7.1
Yuga,Yuga movie revolves around Narrain (Nasser) who a scientist and his assistant Banu (Swarnamalya) are conducting a research on comets. By chance they discover the imminent doom that will befall the people of the world due to a comet. To prevent the people from panicking they decide to hide this matter from the public. They organize a World scientists,0.0
Harvest Moon,"Tulgaa returns to his native village to care for his dying stepfather, honouring his remaining commitments by offering to lend a hand with the summer harvest. But upon witnessing Tulgaa’s clumsy first attempts, Tuntuulei, a sassy 10-year-old boy, takes it upon himself to school the city slicker on the grassland ways. Despite getting off on the wrong foot, the two soon find common ground and form a delicate bond that will transform their lives.",7.6
Octagon and Mascara Sagrada in Fight to the Death,Heroic Mexican wrestler duo Octagon and Mascara Sagrado take on a bevvy of sexy female catburglars led by Lina Santos,4.3
Rapunzel: A Princess Frozen in Time,"In this modern adaptation of Rapunzel, a young girl who has lived her entire life in a room catered by her mother, the infamous scientist Dr. Gothen, must come to terms with her reality in order to expand her horizons.",7.2
Vénéneuses,"An aging gangster (Jean-Pierre Mocky) escapes from prison and is taken in by a very beautiful blonde who asks him to kill her uncle (Richard Bohringer) because he guards her money but prevents her from using it. She asks the gangster to kill him and that way she won't turn the gangster in - she knows he's escaped. The gangster prepares to kill the uncle, except that he realizes he's a very good guy. He becomes friends with the uncle. He won't kill him and will simulate the murder.",6.0
Moby Dick,"In 1841, young Ishmael signs up for service aboard the Pequod, a whaler sailing out of New Bedford. The ship is under the command of Captain Ahab, a strict disciplinarian who exhorts his men to find Moby Dick, the great white whale. Ahab lost his leg to that creature and is desperate for revenge. As the crew soon learns, he will stop at nothing to gain satisfaction.",7.1
The Man I Married,An American vacations in Europe with her husband and watches him turn into a Nazi.,6.3
Private Princess Christmas,Princess Violet of Wingravia must complete a tough leadership boot camp in Colorado or risk losing her throne to her uncle.,6.8
Dead Creatures,A group of women afflicted with a horrible disease (which forces them to cannibalism) try to support one another.,3.6
NJPW G1 Climax 29: Day 9,"The ninth night of G1 Climax 29 took place at Aichi Prefectural Gymnasium in Aichi, Japan, on July 27, 2019, and was headlined by Kazuchika Okada vs. KENTA.",8.0
Going! Going! Gosh!,"The Coyote makes various attempts to get the Road Runner with an explosive-tipped arrow, by shooting himself out of a sling shot and by covering the road with quick drying cement.",6.9
Burraco fatale,"Irma, Eugenia, Miranda and Rina are four different women, each with their own character, their own weaknesses and their own eccentricities, but linked by a deep and lasting knowledge over time, united and marked by their essential card games. When they decide to participate in a national buraco tournament and get out of their everyday life, they will suddenly find themselves with their cards exposed. Life always offers a second chance and love can go back to upsetting at any age. After all, it is the game of burraco that has taught him that a game must be played completely, to the end, and that no result is ever taken for granted.",3.7
Mona Mur in Conversation,"The film explores the life and career of the Hamburg-born musician, whose creative work began in the West German post-punk scene of the 1980s.",0.0
Hana to ryû - Dai-ichi-bu: Dôkai-wan no rantô,Dai-ichi-bu: Dôkai-wan no rantô - Kiyoshi Saeki directed movie.,0.0
Atarashii Sebiro,"This movie depicts poor yet kind and modest people, focusing on sibling love.",0.0
Rats!,New York City races against time to stop a killer rat infestation unlike anything the world has ever seen.,0.0
Flicka: Country Pride,Flicka and Toby help out a struggling stable owner and her teenage daughter.,6.6
Growing Pains,"Two childhood girl friends, Zoe and Nat, face the tumultuous changes of transitioning from middle to high school as their friendship drifts apart. Zoe, a cancer survivor, joins the crew team which exacerbates her body image & mental health struggles. Nat battles with her sexuality and the expectations of her parents.",0.0
The War with Grandpa,"Peter is thrilled that his Grandpa is coming to live with his family. That is, until Grandpa moves into Peter's room, forcing him upstairs into the creepy attic. And though he loves his Grandpa, he wants his room back - so he has no choice but to declare war.",6.443
Love Detective,"Bo, a police detective whose life falls apart after being dumped by her boyfriend, is sent to a model agency to investigate a murder case as an undercover.",2.5
Do You Love Me,"Katharine Hilliard, mousy dean of a stuffy music school, meets and is insulted by swing band leader Barry Clayton on a train. To ""show"" him she takes a friend's advice, removes her glasses, and puts on a designer gown. Naturally, she becomes gorgeous. Soon, both Barry and crooner Jimmy Hale are after her, and she finds herself in the midst of triangles and misunderstandings.",4.8
Quarantine,A television reporter and her cameraman are trapped inside a building quarantined by the CDC after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.,5.781
Justice League vs. Teen Titans,Robin is sent by Batman to work with the Teen Titans after his volatile behavior botches up a Justice League mission. The Titans must then step up to face Trigon after he possesses the League and threatens to conquer the world.,7.277
Red Target,A gunslinger is hired to kill a news photographer. The young ward of the shot photographer discovers the set-up behind the killing - that a laboratory is being set up by a Nazi organization to capture and train talented youth and that the photographer was about to expose it.,6.0
Diminished Capacity,"A Chicago journalist suffering from memory loss takes leaves from his job and returns to his rural hometown, where he bonds with his Alzheimer's impaired uncle Rollie and his old flame.",5.6
Someone's at the door,"García Bogliano’s love triangle drama follows the unexpected reunion between former high school classmates Alicia and Marianela, whose initially warm meeting takes a sinister turn. Alicia, portrayed by Alexis Cárdenas, becomes deeply suspicious of Marianela, played by Samantha Coronel, as she senses an affair between her husband (Mauro Sánchez Navarro) and her mentally perturbed friend.",0.0
An Unlikely Romance,"Luisa and Erika are prototypes of young women who plunge into relationships with the ""wrong"" men. Luisa wants to become an actress, which upsets her husband Igor to no end. Erika is trying to work as much as possible so that she can afford to study and thereby achieve a better outlook on life, but she unfortunately runs up against a boss who doesn't have the best intentions with her. Ultimately Luisa's husband demonstratively commits suicide. Erika accidentally kills her boss in self-defense... The women blame themselves for all these failures, and that has got to change. Both have to grow up and start living again. Perhaps even together.",4.4
The Losers,A couple of hard-drinking cardsharp drifters find themselves in the unlikely situation of having to play Cupid. A TV movie / episode of The Dick Powell Theatre.,0.0
The Posthuman Project,"Denny Burke is finally about to graduate high school. Senior year has been one bad thing after another: a broken leg, a broken heart, and — worst  of all — a broken home.  With four of his closest friends, Denny goes on one last rock-climbing trip to prove he’s ready to start his adult life… On their trip the five teens receive a genetic boost beyond anything they’d ever imagined.  Denny’s soon faced with the first big decision of his adult life: does he give up these powers and stay a normal teenager, or does he keep them…and graduate from the human race?",4.0
The Elephant and The Bicycle,"After two years in jail, El Isleño returns to the island of La Fe, ruled by the dictator Francisco Gavilán. He arrives with a cinematograph and exhibits ""Robin Hood"" to the people. The next day the bridge that communicates La Fe to the mainland has been destroyed, and the people plan to overthrow Gavilán.",6.2
Lord,"Although he hates dogs, Toni is engaged in finding lost animals and then sentimentally blackmails the masters in order to obtain beautiful large amounts of money. Because of an old and ugly Pekinese that Toni cannot succeed of getting rid of, feelings of affection awake in him that surprise even Toni.",7.3
Celebrity Mix,"These eight short films range from hysterically funny to wickedly suspenseful, and feature some of Hollywood's biggest names. Includes short films Laud Weiner, House Hunting, Curiosity, Dysenchanted, Dependable People, Media Whore, Walking Dreams, Mr. Dramatic.",0.0
Whirlpool,The ex-girlfriend of a German fugitive hides with the captain and crew of a ship on the Rhine.,6.2
Isola,"On an island lost between two worlds, Dai, a young Chinese woman, survives alone in a cave, waiting for the baby that swells her womb day after day. Around the harbour which, every day, flurry with the arrival of hundreds of migrants, she searches tirelessly the face of the man she loves, her husband. One, night her wish is to be fulfilled",4.9
The Love of Captain Brando,"During the last years of Franco's dictatorship, Fernando, an old republican exile, returns to his home in a small Castilian village and befriends Aurora, a young and attractive teacher.",5.5
Frank Zappa: Phase II - The Big Note,"Frank Zappa: Phase Two is a 2002 documentary about Frank Zappa. It features a lot of footage from Scheffer's previous film, but new material from Malcolm McNab's private achive.",0.0
Exalted Guest,"An impending visit from a VIP causes chaos and confusion in the small, isolated village of Sukaslamet. Things take a hilarious turn when the herbal medicine seller is mistaken for the exalted guest and is accorded a ceremonial welcome in the most elaborate Javanese style.",0.0
Spaced Invaders,"A crew of Martians overhears a radio broadcast of Orson Welles' ""War of the Worlds"" coming from Earth, and, thinking the Martian fleet is attacking Earth, they land their broken-down ship in a backwater mid-American town. As luck would have it, they land on Halloween and get mistaken for trick-or-treaters. Comedy ensues as the Martians try to get taken seriously.",4.7
Among Us,"Polish Ewa works as an Au-pair in a small town in Holland. A sensitive girl, she finds it difficult to live up to her host-parents' clichéd expectations. When a rape takes place in town, Ewa believes to suspect the rapist. Having no one to share this knowledge with, it furthers her alienation from the people around her, resulting in her being send back home.",3.2
The Mail Pilot,"Mickey the mail pilot is entrusted with a chest of money. He battles rain and snow, but his biggest battle is against Pete, who has a plane equipped with a machine gun and a harpoon cannon. Mickey's plane quickly loses its wings and propeller to Pete's armaments, but he improvises a helicopter blade with a clothes-drying rack, then, when that gives way, a replacement prop from a windmill.",5.9
